ID,DEPARTAMENTO,CABECERA,PROVINCIA
104,"ROQUEPEREZ","ROQUEPEREZ","BUENOSAIRES"
105,"CARLOSCASARES","CARLOSCASARES","BUENOSAIRES"
106,"SALADILLO","SALADILLO","BUENOSAIRES"
107,"PEHUAJO","PEHUAJO","BUENOSAIRES"
108,"TRENQUELAUQUEN","TRENQUELAUQUEN","BUENOSAIRES"
109,"GENERALBELGRANO","GENERALBELGRANO","BUENOSAIRES"
110,"LASFLORES","LASFLORES","BUENOSAIRES"
111,"GENERALALVEAR","GENERALALVEAR","BUENOSAIRES"
112,"PILA","PILA","BUENOSAIRES"
113,"BOLIVAR","SANCARLOSDEBOLIVAR","BUENOSAIRES"
114,"TAPALQUE","TAPLQUEN","BUENOSAIRES"
115,"HIPOLITOYRIGOYEN","HENDERSON","BUENOSAIRES"
116,"DOLORES","DOLORES","BUENOSAIRES"
117,"RAUCH","RAUCH","BUENOSAIRES"
118,"AZUL","AZUL","BUENOSAIRES"
119,"DAIREAUX","DAIREAUX","BUENOSAIRES"
120,"TRESLOMAS","TRESLOMAS","BUENOSAIRES"
121,"GENERALGUIDO","GENERALGUIDO","BUENOSAIRES"
122,"OLAVARRIA","OLAVARRIA","BUENOSAIRES"
123,"AYACUCHO","AYACUCHO","BUENOSAIRES"
124,"GUAMINI","GUAMINI","BUENOSAIRES"
125,"SALLIQUELO","SALLIQUELLO","BUENOSAIRES"
126,"MAIPU","MAIPU","BUENOSAIRES"
127,"GENERALJUANMADARIAGA","GENERALJUANMADARIAGA","BUENOSAIRES"
128,"TANDIL","TANDIL","BUENOSAIRES"
129,"GENERALLAMADRID","GENERALLAMADRID","BUENOSAIRES"
130,"CORONELSUAREZ","CORONELSUAREZ","BUENOSAIRES"
131,"LAPRIDA","LAPRIDA","BUENOSAIRES"
132,"BENITOJUAREZ","BENITOJUAREZ","BUENOSAIRES"
133,"SAAVEDRA","PIG\u009aE","BUENOSAIRES"
134,"BALCARCE","BALCARCE","BUENOSAIRES"
135,"ADOLFOGONZALESCHAVES","GONZALESCHAVES","BUENOSAIRES"
136,"CORONELPRINGLES","CORONELPRINGLES","BUENOSAIRES"
137,"TORNQUIST","TORNQUIST","BUENOSAIRES"
138,"CORONELDEMARINALEONARDOROSALES","PUNTAALTA","BUENOSAIRES"
139,"BAHIABLANCA","BAHIABLANCA","BUENOSAIRES"
140,"MONTEHERMOSO","MONTEHERMOSO","BUENOSAIRES"
141,"CORONELDORREGO","CORONELDORREGO","BUENOSAIRES"
142,"NECOCHEA","NECOCHEA","BUENOSAIRES"
143,"LOBERIA","LOBERIA","BUENOSAIRES"
144,"GENERALALVARADO","MIRAMAR","BUENOSAIRES"
145,"CHASCOMUS","CHASCOMUS","BUENOSAIRES"
146,"BERISSO","BERISSO","BUENOSAIRES"
147,"ENSENADA","ENSENADA","BUENOSAIRES"
148,"BERAZATEGUI","BERAZATEGUI","BUENOSAIRES"
149,"AVELLANEDA","AVELLANEDA","BUENOSAIRES"
150,"SANISIDRO","SANISIDRO","BUENOSAIRES"
151,"TIGRE","TIGRE","BUENOSAIRES"
152,"GENERALPINTO","GENERALPINTO","BUENOSAIRES"
153,"SANCAYETANO","SANCAYETANO","BUENOSAIRES"
154,"TRESARROYOS","TRESARROYOS","BUENOSAIRES"
155,"GENERALPUEYRREDON","MARDELPLATA","BUENOSAIRES"
156,"MARCHIQUITA","CORONELVIDAL","BUENOSAIRES"
157,"VILLAGESELL","VILLAGESELL","BUENOSAIRES"
158,"PINAMAR","PINAMAR","BUENOSAIRES"
159,"LACOSTA","MARDELTUYU","BUENOSAIRES"
160,"GENERALLAVALLE","GENERALLAVALLE","BUENOSAIRES"
161,"TORDILLO","GENERALCONESA","BUENOSAIRES"
162,"CASTELLI","CASTELLI","BUENOSAIRES"
163,"PUNTAINDIO","VERONICA","BUENOSAIRES"
164,"MAGDALENA","MAGDALENA","BUENOSAIRES"
165,"QUILMES","QUILMES","BUENOSAIRES"
166,"VICENTELOPEZ","OLIVOS","BUENOSAIRES"
167,"SANFERNANDO","SANFERNANDO","BUENOSAIRES"
168,"CAMPANA","CAMPANA","BUENOSAIRES"
169,"BARADERO","BARADERO","BUENOSAIRES"
170,"ZARATE","ZARATE","BUENOSAIRES"
171,"SANPEDRO","SANPEDRO","BUENOSAIRES"
172,"RAMALLO","RAMALLO","BUENOSAIRES"
173,"SANNICOLAS","SANNICOLASDELOSARROYOS","BUENOSAIRES"
174,"PERGAMINO","PERGAMINO","BUENOSAIRES"
175,"COLON","COLON","BUENOSAIRES"
176,"PELLEGRINI","NUEVAESPERANZA","SANTIAGODELESTERO"
177,"FIGUEROA","LACA\u00a5ADA","SANTIAGODELESTERO"
178,"AVELLANEDA","HERRERA","SANTIAGODELESTERO"
179,"SALAVINA","LOSTELARES","SANTIAGODELESTERO"
