ID,DEPARTAMENTO,CABECERA,PROVINCIA
464,"CONFLUENCIA","NEUQUEN","NEUQUEN"
465,"PICUNCHES","LASLAJAS","NEUQUEN"
466,"A\u00d1ELO","A\u00a5ELO","NEUQUEN"
467,"LONCOPUE","LONCOPUE","NEUQUEN"
468,"\u00d1ORQUIN","ELHUECU","NEUQUEN"
469,"PEHUENCHES","RINCONDELOSSAUCES","NEUQUEN"
470,"MINAS","ANDACOLLO","NEUQUEN"
471,"CHOSMALAL","CHOSMALAL","NEUQUEN"
472,"LACOCHA","LACOCHA","TUCUMAN"
473,"GRANEROS","GRANEROS","TUCUMAN"
474,"JUANBAUTISTAALBERDI","JUANBAUTISTAALBERDI","TUCUMAN"
475,"RIOCHICO","AGUILARES","TUCUMAN"
476,"CHICLIGASTA","CONCEPCION","TUCUMAN"
477,"SIMOCA","SIMOCA","TUCUMAN"
478,"LULES","LUNES","TUCUMAN"
479,"MONTEROS","MONTEROS","TUCUMAN"
480,"LEALES","BELLAVISTA","TUCUMAN"
481,"FAMAILLA","FAMAILLA","TUCUMAN"
482,"CAPITAL","SANMIGUELDETUCUMAN","TUCUMAN"
483,"CRUZALTA","BANDADELRIOSALI","TUCUMAN"
484,"YERBABUENA","YERBABUENA","TUCUMAN"
485,"BURRUYACU","BURRUYACU","TUCUMAN"
486,"TAFIVIEJO","TAFIVIEJO","TUCUMAN"
487,"TAFIDELVALLE","TAFIDELVALLE","TUCUMAN"
488,"ISLASMALVINAS","","TIERRADELFUEGO"
489,"ISLASDELATLANTICOSUR","","TIERRADELFUEGO"
490,"TRANCAS","TRANCAS","TUCUMAN"
491,"SARMIENTO","SARMIENTO","CHUBUT"
492,"SANCRISTOBAL","SANCRISTOBAL","SANTAFE"
493,"CUSHAMEN","CUSHAMEN","CHUBUT"
494,"LAGOBUENOSAIRES","PERITOMORENO","SANTACRUZ"
495,"CHICALCO","ALGARROBODELAGUILA","LAPAMPA"
496,"PUELEN","25DEMAYO","LAPAMPA"
497,"COMUNA1","","CIUDADAUTONOMADEBUENOSAIRES"
498,"COMUNA2","","CIUDADAUTONOMADEBUENOSAIRES"
499,"COMUNA3","","CIUDADAUTONOMADEBUENOSAIRES"
500,"COMUNA4","","CIUDADAUTONOMADEBUENOSAIRES"
501,"COMUNA5","","CIUDADAUTONOMADEBUENOSAIRES"
502,"COMUNA6","","CIUDADAUTONOMADEBUENOSAIRES"
503,"COMUNA7","","CIUDADAUTONOMADEBUENOSAIRES"
504,"COMUNA8","","CIUDADAUTONOMADEBUENOSAIRES"
505,"COMUNA9","","CIUDADAUTONOMADEBUENOSAIRES"
506,"COMUNA10","","CIUDADAUTONOMADEBUENOSAIRES"
507,"COMUNA11","","CIUDADAUTONOMADEBUENOSAIRES"
508,"COMUNA12","","CIUDADAUTONOMADEBUENOSAIRES"
509,"COMUNA13","","CIUDADAUTONOMADEBUENOSAIRES"
510,"COMUNA14","","CIUDADAUTONOMADEBUENOSAIRES"
511,"COMUNA15","","CIUDADAUTONOMADEBUENOSAIRES"
512,"VALLEVIEJO","SANISIDRO","CATAMARCA"
513,"FRAYMAMERTOESQUIU","SANJOSE","CATAMARCA"
514,"G\u00dcERAIKE","RIOGALLEGOS","SANTACRUZ"
515,"BANDA","LABANDA","SANTIAGODELESTERO"
516,"ROBLES","FERNANDEZ","SANTIAGODELESTERO"
517,"CAPITAL","SANTIAGODELESTERO","SANTIAGODELESTERO"
518,"SILIPICA","ARRAGA","SANTIAGODELESTERO"
519,"SANMARTIN","BREAPOZO","SANTIAGODELESTERO"
520,"MITRE","VILLAUNION","SANTIAGODELESTERO"
521,"SARMIENTO","GARZA","SANTIAGODELESTERO"
522,"ATAMISQUI","VILLAATAMISQUI","SANTIAGODELESTERO"
523,"LORETO","LORETO","SANTIAGODELESTERO"
524,"GUASAYAN","SANPEDRODEGUASAY\u00c1N","SANTIAGODELESTERO"
525,"JIMENEZ","POZOHONDO","SANTIAGODELESTERO"
526,"QUEBRACHOS","SUMAMPA","SANTIAGODELESTERO"
527,"BELGRANO","BANDERA","SANTIAGODELESTERO"
