"fecha","CABA","COMUNA 1","COMUNA 3","COMUNA 4","COMUNA 7","COMUNA 8"
2020-03-31,21,0,0,1,0,0
2020-04-01,27,0,0,1,2,0
2020-04-02,29,0,3,0,1,0
2020-04-03,17,1,0,1,0,1
2020-04-04,25,2,0,0,3,0
2020-04-05,13,1,0,0,0,0
2020-04-06,16,2,0,1,2,1
2020-04-07,15,0,1,1,2,0
2020-04-08,15,1,0,0,0,0
2020-04-09,16,0,0,1,0,0
2020-04-10,21,2,0,1,0,1
2020-04-11,26,1,1,0,2,0
2020-04-12,29,2,0,0,4,1
2020-04-13,21,2,0,0,2,0
2020-04-14,22,2,0,0,2,1
2020-04-15,26,2,0,2,3,0
2020-04-16,33,2,1,0,5,0
2020-04-17,22,3,0,0,2,0
2020-04-18,33,3,1,0,5,0
2020-04-19,29,2,0,0,4,1
2020-04-20,62,8,0,3,2,1
2020-04-21,51,2,1,2,6,0
2020-04-22,61,4,2,2,4,0
2020-04-23,63,5,1,3,6,2
2020-04-24,66,9,2,3,6,0
2020-04-25,47,7,0,3,2,2
2020-04-26,39,7,0,0,1,0
2020-04-27,53,20,1,1,4,0
2020-04-28,53,17,0,0,8,0
2020-04-29,52,15,0,0,6,0
2020-04-30,75,24,0,2,6,0
2020-05-01,106,39,0,2,8,1
2020-05-02,75,30,0,0,8,0
2020-05-03,109,40,1,1,10,3
2020-05-04,91,38,0,2,9,1
2020-05-05,120,43,0,2,12,1
2020-05-06,134,49,0,3,10,2
2020-05-07,156,51,0,7,12,2
2020-05-08,172,73,0,2,24,3
2020-05-09,149,61,0,4,24,1
2020-05-10,248,114,2,4,25,1
2020-05-11,196,53,4,12,34,3
2020-05-12,219,69,4,5,35,4
2020-05-13,231,54,3,16,32,4
2020-05-14,274,75,2,6,40,11
2020-05-15,319,74,7,9,28,6
2020-05-16,262,55,8,14,30,7
2020-05-17,291,59,7,16,48,7
2020-05-18,381,79,10,11,63,7
2020-05-19,316,74,11,19,35,9
2020-05-20,443,79,10,39,66,19
2020-05-21,343,56,5,22,53,14
2020-05-22,374,54,9,17,58,15
2020-05-23,419,84,6,43,77,11
2020-05-24,327,42,6,30,53,13
2020-05-25,395,50,10,26,57,13
2020-05-26,364,51,9,39,45,21
2020-05-27,377,56,4,28,51,18
2020-05-28,358,27,13,37,48,14
2020-05-29,436,44,5,35,45,25
2020-05-30,372,35,10,36,68,21
2020-05-31,327,19,26,29,54,18
2020-06-01,482,26,14,35,81,35
2020-06-02,441,25,14,37,50,46
2020-06-03,448,30,15,48,57,38
2020-06-04,483,19,16,59,79,43
2020-06-05,536,27,20,50,75,38
2020-06-06,511,23,13,56,75,41
2020-06-07,496,16,13,37,52,50
2020-06-08,569,17,14,52,58,72
2020-06-09,581,25,19,55,61,52
2020-06-10,622,15,29,49,75,75
2020-06-11,571,11,13,54,56,73
2020-06-12,749,18,18,63,59,97
2020-06-13,599,12,10,68,45,63
2020-06-14,573,17,16,46,35,56
2020-06-15,638,11,17,67,40,79
2020-06-16,818,21,30,89,49,119
2020-06-17,793,19,25,82,47,92
2020-06-18,822,31,23,82,33,104
2020-06-19,816,29,18,78,29,97
2020-06-20,832,26,57,78,33,103
2020-06-21,765,19,17,86,44,105
2020-06-22,962,25,25,124,59,105
2020-06-23,855,18,31,78,42,89
2020-06-24,856,26,23,80,40,81
2020-06-25,783,20,28,79,22,94
2020-06-26,878,37,30,102,37,90
2020-06-27,768,18,29,86,29,96
2020-06-28,678,18,27,70,18,91
2020-06-29,881,35,26,58,28,85
2020-06-30,800,28,35,56,36,74
2020-07-01,869,21,36,67,26,91
2020-07-02,831,23,31,55,30,83
2020-07-03,1010,29,24,97,38,95
2020-07-04,735,17,29,51,31,66
2020-07-05,778,8,22,48,19,49
2020-07-06,1025,22,39,73,33,64
2020-07-07,989,21,36,53,32,97
2020-07-08,942,23,32,44,33,54
2020-07-09,848,25,22,33,17,87
2020-07-10,863,27,25,64,27,63
2020-07-11,774,22,70,45,32,55
2020-07-12,610,20,26,44,21,44
2020-07-13,888,33,30,61,46,53
2020-07-14,801,24,21,58,30,42
2020-07-15,655,24,21,62,38,44
2020-07-16,589,28,58,35,25,36
2020-07-17,417,22,24,34,18,16
2020-07-18,436,12,15,50,10,39
2020-07-19,145,9,6,12,12,12
