ID,DEPARTAMENTO,CABECERA,PROVINCIA
434,"LIBERTADORGENERALSANMARTIN","","SANLUIS"
435,"CORONELPRINGLES","LATOMA","SANLUIS"
436,"JUNIN","SANTAROSADECONLARA","SANLUIS"
437,"LACALDERA","LACALDERA","SALTA"
438,"CAPITAL","LARIOJA","LARIOJA"
439,"HUILICHES","JUNINDELOSANDES","NEUQUEN"
440,"CATANLIL","LASCOLORADAS","NEUQUEN"
441,"IRUYA","IRUYA","SALTA"
442,"ORAN","SANRAMONDELANUEVAORAN","SALTA"
443,"MATACOS","INGENIEROJUAREZ","FORMOSA"
444,"SILIPICA","ARRAGA","SANTIAGODELESTERO"
445,"ANTA","JOAQUINVICTORGONZALEZ","SALTA"
446,"ALMIRANTEBROWN","PAMPADELINFIERNO","CHACO"
447,"COPO","MONTEQUEMADO","SANTIAGODELESTERO"
448,"RIOHONDO","TERMASDERIOHONDO","SANTIAGODELESTERO"
449,"ROSARIODELAFRONTERA","ROSARIODELAFRONTERA","SALTA"
450,"RIOSECO","VILLADEMARIA","CORDOBA"
451,"VALLEFERTIL","VILLASANAGUSTIN","SANJUAN"
452,"IGLESIA","RODEO","SANJUAN"
453,"AVELLANEDA","CHOELECHOEL","RIONEGRO"
454,"GENERALROCA","GENERALROCA","RIONEGRO"
455,"BELGRANO","VILLAGENERALROCA","SANLUIS"
456,"LOSLAGOS","VILLALAANGOSTURA","NEUQUEN"
457,"LACAR","SANMARTINDELOSANDES","NEUQUEN"
458,"COLLONCURA","PIEDRADELAGUILA","NEUQUEN"
459,"PICUNLEUFU","PICUNLEUFU","NEUQUEN"
460,"ALUMINE","ALUMINE","NEUQUEN"
461,"ZAPALA","ZAPALA","NEUQUEN"
462,"CONFLUENCIA","NEUQUEN","NEUQUEN"
463,"PICUNCHES","LASLAJAS","NEUQUEN"
464,"ANELO","AYELO","NEUQUEN"
465,"LONCOPUE","LONCOPUE","NEUQUEN"
