ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
100,"RIVADAVIA","RIVADAVIA","SANJUAN",7795
101,"GENERALRODRIGUEZ","GENERALRODRIGUEZ","BUENOSAIRES",676
102,"SUIPACHA","SUIPACHA","BUENOSAIRES",26270
103,"TRESDEFEBRERO","CASEROS","BUENOSAIRES",32515
104,"MERLO","MERLO","BUENOSAIRES",3812
105,"CHIVILCOY","CHIVILCOY","BUENOSAIRES",2462
106,"BRAGADO","BRAGADO","BUENOSAIRES",36654
107,"LANUS","LANUS","BUENOSAIRES",1005
108,"GENERALLASHERAS","LASHERAS","BUENOSAIRES",3881
109,"MARCOSPAZ","MARCOSPAZ","BUENOSAIRES",38970
110,"LOMASDEZAMORA","LOMASDEZAMORA","BUENOSAIRES",1312
111,"GENERALVIAMONTE","GENERALVIAMONTE","BUENOSAIRES",25169
112,"ESTEBANECHEVERRIA","MONTEGRANDE","BUENOSAIRES",12427
113,"EZEIZA","JOSEMARIAEZEIZA","BUENOSAIRES",497
114,"ALBERTI","ALBERTI","BUENOSAIRES",26265
115,"FLORENCIOVARELA","FLORENCIOVARELA","BUENOSAIRES",1097
116,"NAVARRO","NAVARRO","BUENOSAIRES",1501
117,"SANTALUCIA","SANTALUCIA","SANJUAN",3852
118,"CANUELAS","CANUELAS","BUENOSAIRES",4579
119,"SANVICENTE","SANVICENTE","BUENOSAIRES",2021
120,"LOBOS","LOBOS","BUENOSAIRES",1835
121,"BRANDSEN","BRANDSEN","BUENOSAIRES",318
122,"CARLOSTEJEDOR","CARLOSTEJEDOR","BUENOSAIRES",1951
123,"25DEMAYO","25DEMAYO","BUENOSAIRES",3204
124,"9DEJULIO","9DEJULIO","BUENOSAIRES",642
125,"GENERALPAZ","RANCHOS","BUENOSAIRES",970
126,"MONTE","SANMIGUELDELMONTE","BUENOSAIRES",1257
127,"ROQUEPEREZ","ROQUEPEREZ","BUENOSAIRES",636
128,"GENERALALVEAR","GENERALALVEAR","BUENOSAIRES",52266
129,"QUILMES","QUILMES","BUENOSAIRES",176
130,"PILA","PILA","BUENOSAIRES",399
131,"GENERALLAMADRID","GENERALLAMADRID","BUENOSAIRES",2813
132,"BOLIVAR","SANCARLOSDEBOLIVAR","BUENOSAIRES",5678
133,"BALCARCE","BALCARCE","BUENOSAIRES",18138
134,"VICENTELOPEZ","OLIVOS","BUENOSAIRES",4313
135,"CAPITAL","SANJUAN","SANJUAN",500
136,"TAPALQUE","TAPLQUEN","BUENOSAIRES",661
137,"HIPOLITOYRIGOYEN","HENDERSON","BUENOSAIRES",1682
138,"DOLORES","DOLORES","BUENOSAIRES",978
139,"RAUCH","RAUCH","BUENOSAIRES",4066
140,"AZUL","AZUL","BUENOSAIRES",906
141,"DAIREAUX","DAIREAUX","BUENOSAIRES",377
142,"TRESLOMAS","TRESLOMAS","BUENOSAIRES",980
143,"AYACUCHO","AYACUCHO","BUENOSAIRES",183
144,"GUAMINI","GUAMINI","BUENOSAIRES",568
