ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
442,"ORAN","SANRAMONDELANUEVAORAN","SALTA",212
443,"MATACOS","INGENIEROJUAREZ","FORMOSA",79
444,"SILIPICA","ARRAGA","SANTIAGODELESTERO",1084
445,"ANTA","JOAQUINVICTORGONZALEZ","SALTA",502
446,"ALMIRANTEBROWN","PAMPADELINFIERNO","CHACO",158
447,"COPO","MONTEQUEMADO","SANTIAGODELESTERO",1008
448,"RIOHONDO","TERMASDERIOHONDO","SANTIAGODELESTERO",672
449,"ROSARIODELAFRONTERA","ROSARIODELAFRONTERA","SALTA",254
450,"RIOSECO","VILLADEMARIA","CORDOBA",115
451,"VALLEFERTIL","VILLASANAGUSTIN","SANJUAN",257
452,"IGLESIA","RODEO","SANJUAN",3278
453,"AVELLANEDA","CHOELECHOEL","RIONEGRO",24244
454,"GENERALROCA","GENERALROCA","RIONEGRO",181
455,"BELGRANO","VILLAGENERALROCA","SANLUIS",1795
456,"LOSLAGOS","VILLALAANGOSTURA","NEUQUEN",5054
457,"LACAR","SANMARTINDELOSANDES","NEUQUEN",651
458,"COLLONCURA","PIEDRADELAGUILA","NEUQUEN",401
459,"PICUNLEUFU","PICUNLEUFU","NEUQUEN",994
460,"ALUMINE","ALUMINE","NEUQUEN",4466
461,"ZAPALA","ZAPALA","NEUQUEN",44093
462,"CONFLUENCIA","NEUQUEN","NEUQUEN",856
463,"PICUNCHES","LASLAJAS","NEUQUEN",1248
464,"ANELO","AYELO","NEUQUEN",559
465,"LONCOPUE","LONCOPUE","NEUQUEN",412
466,"NORQUIN","ELHUECU","NEUQUEN",2265
467,"PEHUENCHES","RINCONDELOSSAUCES","NEUQUEN",501
468,"MINAS","ANDACOLLO","NEUQUEN",1307
469,"CHOSMALAL","CHOSMALAL","NEUQUEN",406
470,"LACOCHA","LACOCHA","TUCUMAN",339
471,"GRANEROS","GRANEROS","TUCUMAN",1133
472,"JUANBAUTISTAALBERDI","JUANBAUTISTAALBERDI","TUCUMAN",2296
473,"RIOCHICO","AGUILARES","TUCUMAN",3391
474,"CHICLIGASTA","CONCEPCION","TUCUMAN",910
475,"SIMOCA","SIMOCA","TUCUMAN",4019
476,"LULES","LUNES","TUCUMAN",2344
477,"MONTEROS","MONTEROS","TUCUMAN",2941
478,"LEALES","BELLAVISTA","TUCUMAN",1616
479,"FAMAILLA","FAMAILLA","TUCUMAN",7111
480,"YERBABUENA","YERBABUENA","TUCUMAN",1242
481,"BURRUYACU","BURRUYACU","TUCUMAN",9139
482,"TAFIVIEJO","TAFIVIEJO","TUCUMAN",1224
483,"TAFIDELVALLE","TAFIDELVALLE","TUCUMAN",0
484,"ISLASMALVINAS","","TIERRADELFUEGO",43056
485,"CAPITAL","SANMIGUELDETUCUMAN","TUCUMAN",12018
486,"CRUZALTA","BANDADELRIOSALI","TUCUMAN",7585
487,"COMUNA06","","CABA",509
488,"TRANCAS","TRANCAS","TUCUMAN",1357
489,"SARMIENTO","SARMIENTO","CHUBUT",3938
490,"SANCRISTOBAL","SANCRISTOBAL","SANTAFE",1266
491,"CUSHAMEN","CUSHAMEN","CHUBUT",1292
492,"LAGOBUENOSAIRES","PERITOMORENO","SANTACRUZ",49
493,"CHICALCO","ALGARROBODELAGUILA","LAPAMPA",848
494,"PUELEN","25DEMAYO","LAPAMPA",11309
495,"COMUNA01","","CABA",49
496,"ISLASDELATLANTICOSUR","","TIERRADELFUEGO",7005
497,"COMUNA02","","CABA",9988
498,"COMUNA03","","CABA",14343
499,"COMUNA04","","CABA",8197
500,"COMUNA05","","CABA",11993
501,"COMUNA07","","CABA",11428
502,"COMUNA08","","CABA",7327
503,"COMUNA09","","CABA",4948
504,"BANDA","LABANDA","SANTIAGODELESTERO",7137
505,"COMUNA10","","CABA",7073
506,"COMUNA11","","CABA",7056
507,"COMUNA12","","CABA",829
508,"ROBLES","FERNANDEZ","SANTIAGODELESTERO",16067
509,"CAPITAL","SANTIAGODELESTERO","SANTIAGODELESTERO",10128
510,"COMUNA13","","CABA",10700
511,"COMUNA14","","CABA",8411
512,"COMUNA15","","CABA",1178
513,"VALLEVIEJO","SANISIDRO","CATAMARCA",460
514,"FRAYMAMERTOESQUIU","SANJOSE","CATAMARCA",17162
515,"GUERAIKE","RIOGALLEGOS","SANTACRUZ",50
516,"SANMARTIN","BREAPOZO","SANTIAGODELESTERO",9
517,"MITRE","VILLAUNION","SANTIAGODELESTERO",15
518,"SARMIENTO","GARZA","SANTIAGODELESTERO",144
519,"ATAMISQUI","VILLAATAMISQUI","SANTIAGODELESTERO",205
520,"LORETO","LORETO","SANTIAGODELESTERO",48
521,"GUASAYAN","SANPEDRODEGUASAYAN","SANTIAGODELESTERO",158
522,"JIMENEZ","POZOHONDO","SANTIAGODELESTERO",109
523,"QUEBRACHOS","SUMAMPA","SANTIAGODELESTERO",140
524,"BELGRANO","BANDERA","SANTIAGODELESTERO",85
525,"AGUIRRE","PINTO","SANTIAGODELESTERO",1739
526,"SANCARLOS","VILLASANCARLOS","MENDOZA",
527,,
